id,mid,aid
167,88,127
168,96,129
169,96,129
170,97,129
171,97,130
172,97,131
173,97,132
174,97,124
175,97,87
176,98,43
177,98,133
178,98,34
179,99,63
180,100,135
181,102,6
182,103,136
183,103,92
184,107,137
185,108,138
186,110,56
187,110,139
188,113,69
189,113,140
190,114,55
191,114,92
192,115,55
193,115,92
194,116,141
195,117,142
196,117,143
197,117,144
198,117,145
199,118,1
200,119,89
201,119,48
202,119,105
203,120,146
204,120,147
205,122,147
206,123,148
207,126,103
208,126,149
209,127,150
210,127,151
211,128,152
212,128,153
213,129,154
214,129,155
215,129,156
216,130,157
217,131,10
218,131,158
219,131,159
220,131,160
221,132,9
222,132,161
223,132,155
224,133,111
225,133,31
226,133,127
227,133,52
228,134,162
229,134,163
230,135,164
231,135,165
232,136,166
233,138,335
234,67,5
235,67,167
236,67,29
237,67,99
238,67,168
239,139,169
240,139,170
241,141,144
242,141,171
243,143,172
244,143,147
245,144,58
246,145,106
247,145,173
248,145,174
249,145,175
250,145,176
251,145,177
252,146,178
253,146,179
254,146,128
255,146,180
256,147,181
257,148,45
258,148,63
259,148,134
260,148,128
261,149,182
262,150,171
263,151,183
264,151,121
265,152,184
266,152,4
267,154,185
268,154,92
269,154,186
270,156,150
271,156,187
272,156,188
273,156,189
274,157,106
275,157,135
276,158,146
277,158,20
278,158,190
279,158,191
280,158,192
281,158,193
282,159,143
283,159,194
284,146,194
285,160,88
286,160,94
287,160,196
288,160,197
289,160,27
290,160,164
291,161,188
292,161,198
293,161,173
294,162,199
295,162,200
296,163,10
297,163,201
298,163,202
299,163,203
300,163,204
301,163,205
302,163,206
303,164,35
304,164,99
305,164,206
306,164,207
307,164,208
308,164,209
309,166,210
310,167,150
311,167,211
312,167,212
313,168,172
314,168,188
315,171,196
316,171,20
317,8,128
318,8,143
319,8,198
320,8,213
321,172,144
322,172,48
323,172,12
324,172,66
325,172,214
326,173,215
327,173,216
328,173,110
329,174,54
330,174,217
331,174,218
332,174,219
333,174,220
334,175,221
335,175,29
336,176,54
337,176,222
338,176,219
339,176,124
340,177,54
341,177,124
342,177,219
343,177,223
344,178,224
345,178,225
346,178,4
347,178,56
348,178,226
349,178,30
350,179,32
351,180,32
352,180,227
353,180,76
354,180,228
355,181,229
356,181,230
357,181,231
358,181,32
359,182,232
360,182,32
361,182,48
362,182,233
363,182,234
364,182,56
365,183,153
366,183,235
367,183,25
368,183,32
369,184,236
370,184,237
371,184,222
372,184,238
373,184,128
374,184,228
375,41,230
376,61,233
377,185,222
378,185,238
379,185,239
380,186,240
381,186,222
382,186,237
383,186,228
384,186,238
385,187,222
386,187,237
387,187,228
388,187,238
389,188,146
390,188,86
391,188,62
392,188,241
393,188,242
394,147,241
395,189,48
396,189,231
397,144,243
398,144,231
399,144,244
400,190,58
401,190,231
402,189,246
403,191,234
404,192,154
405,192,247
406,192,142
407,192,101
408,193,248
409,193,249
410,193,250
411,193,72
412,193,246
413,193,251
414,194,242
415,194,127
416,194,66
417,194,149
418,195,80
419,195,253
420,195,254
421,195,255
422,195,146
423,195,256
424,195,257
425,196,80
426,196,252
427,196,128
428,196,163
429,197,49
430,197,258
431,197,259
432,198,258
433,198,236
434,198,260
435,199,71
436,199,250
437,199,7
438,199,261
439,199,262
440,199,263
441,199,109
442,199,264
443,199,265
444,199,266
445,199,31
446,200,159
447,200,267
448,200,268
449,200,269
450,201,13
451,201,120
452,201,270
453,201,271
454,202,228
455,202,272
456,203,273
457,203,276
458,203,274
459,203,275
460,194,277
461,119,277
462,204,277
463,204,86
464,205,278
465,205,279
466,205,280
467,44,241
468,44,281
469,206,54
470,206,282
471,206,279
472,206,283
473,207,158
474,207,283
475,208,152
476,208,284
477,208,66
478,209,285
479,210,208
480,210,209
481,210,271
482,210,99
483,210,206
484,210,35
485,210,207
486,210,205
487,211,94
488,212,286
489,114,198
490,213,287
491,213,43
492,214,76
493,214,288
494,214,198
495,215,128
496,216,123
497,216,289
498,216,290
499,216,291
500,217,92
501,217,292
502,217,293
503,217,198
504,217,294
505,218,1
506,218,295
507,218,296
508,218,198
509,219,297
510,219,298
511,219,299
512,219,300
513,219,301
514,220,297
515,220,149
516,220,302
517,220,169
518,220,303
519,220,304
520,221,287
521,221,305
522,221,306
523,222,13
524,222,307
525,222,304
526,222,245
527,222,308
528,222,309
529,223,298
530,223,54
531,223,307
532,223,94
533,223,284
534,223,135
535,223,11
536,223,218
537,223,310
538,223,311
539,223,312
540,13,313
541,13,314
542,13,315
543,13,316
544,13,317
545,13,135
546,13,318
547,224,319
548,224,320
549,51,309
550,225,170
551,225,94
552,225,321
553,226,9
554,227,322
555,227,323
556,227,324
557,227,325
558,227,326
559,227,327
560,227,71
561,227,313
562,227,163
563,227,53
564,228,328
565,228,329
566,228,330
567,228,331
568,228,303
569,228,332
570,229,333
571,229,308
572,229,281
573,229,334
574,229,35
575,230,45
576,230,77
577,230,335
578,230,333
579,138,336
580,231,45
581,231,337
582,232,224
583,232,337
584,232,338
585,233,185
586,234,104
587,234,103
588,234,14
589,235,119
590,235,40
591,235,28
592,235,339
593,236,172
594,236,241
595,237,107
596,238,340
597,238,103
598,238,37
599,239,92
600,239,325
601,239,341
602,241,71
603,241,22
604,241,342
605,241,20
606,241,343
607,241,344
608,242,345
609,242,174
610,242,346
611,6,346
612,243,347
613,243,12
614,243,348
615,243,349
616,243,346
617,244,248
618,244,350
619,244,7
620,64,350
621,145,350
622,245,351
623,245,352
624,245,12
625,245,331
626,245,120
627,245,350
628,246,56
629,246,353
630,246,23
631,246,351
632,247,353
633,247,354
634,247,355
635,247,321
636,248,294
637,249,96
638,249,197
639,250,356
640,250,357
641,250,225
642,250,358
643,250,337
644,250,359
645,250,360
646,250,361
647,250,349
648,250,362
649,251,363
650,251,364
651,251,261
652,251,365
653,251,366
654,251,176
655,251,362
656,251,367
657,251,368
658,251,369
659,251,370
660,251,329
661,251,256
662,252,63
663,254,376
664,254,378
665,254,377
666,255,219
667,255,347
668,256,379
669,256,173
670,256,380
671,257,379
672,257,380
673,257,132
674,258,198
675,258,381
676,259,327
677,259,382
678,259,161
679,259,383
680,260,148
681,260,36
682,260,199
683,261,38
684,261,188
685,261,384
686,261,207
687,261,195
688,261,385
689,262,124
690,262,386
691,262,387
692,262,388
693,263,124
694,263,386
695,263,387
696,263,388
697,263,124
698,264,292
699,264,123
700,264,388
701,264,220
702,264,173
703,265,389
704,265,113
705,266,6
706,266,390
707,266,391
708,267,114
709,267,113
710,267,392
711,265,392
712,188,393
713,268,394
714,268,11
715,268,303
716,268,395
717,268,396
718,268,304
719,268,190
720,269,190
721,269,110
722,269,270
723,270,56
724,270,26
725,270,266
726,270,397
727,270,398
728,270,52
729,270,287
730,270,270
731,270,400
732,271,245
733,271,400
734,271,315
735,272,401
736,272,315
737,272,241
738,274,154
739,274,91
740,275,95
741,275,327
742,275,61
743,275,347
744,275,237
745,276,150
746,276,68
747,276,108
748,277,31
749,277,402
750,277,403
751,277,127
752,277,404
753,277,262
754,277,325
755,278,105
756,278,155
757,279,151
758,279,399
759,279,405
760,279,406
761,279,407
762,279,408
763,279,409
764,280,172
765,281,386
766,281,410
767,281,217
768,281,411
769,281,327
770,281,412
771,282,413
772,282,414
773,283,227
774,283,154
775,283,415
776,283,66
777,283,416
778,284,398
779,284,416
780,284,417
781,225,417
782,285,418
783,285,413
784,286,418
785,286,64
786,286,419
787,287,117
788,287,403
789,287,420
790,288,138
791,288,310
792,288,421
793,288,11
794,288,420
795,22,421
796,289,208
797,289,422
798,289,423
799,290,422
800,290,112
801,290,338
802,291,105
803,291,342
804,291,426
805,291,423
806,291,427
807,291,428
808,291,369
809,291,74
810,292,58
811,292,405
812,292,425
813,293,429
814,293,430
815,293,113
816,294,430
817,294,431
818,294,432
819,294,359
820,295,431
821,295,433
822,296,432
823,297,114
824,297,430
825,297,432
826,298,433
827,298,114
828,299,363
829,299,434
830,299,433
831,300,363
832,300,433
833,301,434
834,301,268
835,301,435
836,301,436
837,302,127
838,302,364
839,302,71
840,302,160
841,302,7
842,302,438
843,302,439
844,302,73
845,302,350
846,302,72
847,302,122
848,302,440
849,302,435
850,302,4
851,303,441
852,303,442
853,303,159
854,303,100
855,303,443
856,304,97
857,304,264
858,304,444
859,304,436
860,304,445
861,304,446
862,305,307
863,305,446
864,305,323
865,305,296
866,306,447
867,306,446
868,306,448
869,306,46
870,307,80
871,307,446
872,308,111
873,308,64
874,308,255
875,161,111
876,309,69
877,309,449
878,309,111
879,310,450
880,310,449
881,310,451
882,311,63
883,311,149
884,311,179
885,311,148
886,311,325
887,311,84
888,311,450
889,311,304
890,312,280
891,312,74
892,312,451
893,312,452
894,312,326
895,312,33
896,312,453
897,205,454
898,312,454
899,313,26
900,313,452
901,314,8
902,314,26
903,314,455
904,314,456
905,314,457
906,314,458
907,314,459
908,314,460
909,314,22
910,315,26
911,315,9
912,315,333
913,315,461
914,315,211
915,316,227
916,316,292
917,316,26
918,316,28
919,316,462
920,317,88
921,317,464
922,317,465
923,317,26
924,317,216
925,317,93
926,317,123
927,317,466
928,317,467
929,317,468
930,317,469
931,317,3
932,318,389
933,318,466
934,319,470
935,319,469
936,319,149
937,319,182
938,319,128
939,319,471
940,319,217
941,320,422
942,320,127
943,320,472
944,320,174
945,320,470
946,320,95
947,320,296
948,320,473
949,320,49
950,320,264
951,321,470
952,321,425
953,321,474
954,321,475
955,321,476
956,321,477
957,322,469
958,322,3
959,323,469
960,323,337
961,323,478
962,323,404
963,324,466
964,324,479
965,325,64
966,325,44
967,325,26
968,326,9
969,326,211
970,326,127
971,326,459
972,326,275
973,326,480
974,326,254
975,327,481
976,327,482
977,327,354
978,328,354
979,328,483
980,329,71
981,329,7
982,329,73
983,329,74
984,329,72
985,329,484
986,329,485
987,329,4
988,330,4
989,331,172
990,331,65
991,331,486
992,332,65
993,332,85
994,332,275
995,332,487
996,333,65
997,333,488
998,333,251
999,334,65
1000,334,67
1001,334,306
1002,334,489
1003,334,43
1004,335,65
1005,335,122
1006,336,122
1007,336,161
1008,337,122
1009,337,445
1010,337,53
1011,337,268
1012,337,342
1013,337,490
1014,5,490
1015,337,291
1016,338,122
1017,338,58
1018,338,491
1019,339,122
1020,339,22
1021,339,143
1022,340,122
1023,340,492
1024,340,493
1025,340,494
1026,341,342
1027,341,122
1028,341,480
1029,341,22
1030,341,245
1031,342,122
1032,342,67
1033,342,311
1034,342,131
1035,343,122
1036,343,256
1037,343,115
1038,343,98
1039,343,431
1040,343,114
1041,343,430
1042,343,495
1043,343,185
1044,343,478
1045,343,496
1046,343,497
1047,343,498
1048,343,499
1049,344,122
1050,344,263
1051,344,28
1052,344,256
1053,345,56
1054,345,500
1055,345,364
1056,345,501
1057,345,502
1058,346,56
1059,346,502
1060,346,401
1061,347,56
1062,347,254
1063,347,502
1064,347,46
1065,347,472
1066,347,503
1067,347,504
1068,347,505
1069,347,296
1070,347,50
1071,347,281
1072,347,66
1073,347,57
1074,348,56
1075,348,57
1076,349,56
1077,349,459
1078,349,58
1079,349,502
1080,349,53
1081,349,341
1082,349,57
1083,349,19
1084,349,506
1085,350,56
1086,350,502
1087,351,56
1088,351,353
1089,351,262
1090,352,56
1091,352,353
1092,353,56
1093,353,507
1094,353,508
1095,353,509
1096,353,109
1097,353,248
1098,354,510
1099,13,510
1100,355,240
1101,355,189
1102,355,511
1103,356,511
1104,356,123
1105,356,512
1106,357,512
1107,357,513
1108,357,514
1109,163,513
1110,358,418
1111,358,153
1112,358,100
1113,358,10
1114,358,155
1115,359,469
1116,359,10
1117,359,26
1118,359,41
1119,359,274
1120,360,10
1121,360,515
1122,360,461
1123,360,269
1124,361,516
1125,361,357
1126,71,208
1127,71,209
1128,71,518
1129,71,517
1130,71,271
1131,71,99
1132,71,206
1133,71,205
1134,71,207
1135,71,35
1136,362,164
1137,363,519
1138,363,192
1139,363,421
1140,363,520
1141,363,167
1142,364,520
1143,364,521
1144,364,461
1145,365,520
1146,365,224
1147,365,522
1148,365,325
1149,367,248
1150,367,523
1151,367,524
1152,368,248
1153,368,523
1154,368,251
1155,369,294
1156,369,524
1157,369,525
1158,369,526
1159,369,261
1160,369,527
1161,370,524
1162,370,528
1163,370,529
1164,370,530
1165,303,525
1166,371,417
1167,371,382
1168,371,153
1169,371,442
1170,371,443
1171,371,528
1172,371,525
1173,371,120
1174,372,531
1175,372,532
1176,372,525
1177,372,438
1178,372,325
1179,372,533
1180,373,531
1181,373,532
1182,373,525
1183,374,531
1184,374,532
1185,374,534
1186,374,535
1187,375,469
1188,375,536
1189,375,6
1190,375,271
1191,375,213
1192,375,28
1193,376,294
1194,376,115
1195,376,525
1196,376,3
1197,377,98
1198,377,538
1199,377,539
1200,377,525
1201,377,540
1202,377,438
1203,378,402
1204,378,284
1205,378,299
1206,378,41
1207,378,218
1208,378,101
1209,378,537
1210,15,535
1211,379,541
1212,379,530
1213,380,31
1214,380,201
1215,380,530
1216,381,542
1217,381,63
1218,381,528
1219,381,530
1220,382,44
1221,382,543
1222,382,542
1223,382,530
1224,383,544
1225,383,530
1226,83,530
1227,384,6
1228,384,545
1229,384,530
1230,385,6
1231,385,546
1232,385,530
1233,386,541
1234,386,547
1235,386,337
1236,386,530
1237,387,114
1238,387,390
1239,387,530
1240,266,530
1241,388,390
1242,389,113
1243,389,530
1244,102,530
1245,297,530
1246,293,530
1247,68,42
1248,390,184
1249,390,42
1250,390,530
1251,391,530
1252,391,548
1253,732,717
1254,733,727
1255,109,727
1256,267,530
1257,265,530
1258,392,530
1259,116,530
1260,393,359
1261,394,351
1262,394,352
1263,394,12
1264,394,120
1265,395,138
1266,395,549
1267,395,135
1268,396,152
1269,396,550
1270,396,205
1271,397,551
1272,397,437
1273,397,246
1274,397,503
1275,397,254
1276,399,156
1277,399,398
1278,399,552
1279,366,552
1280,400,238
1281,401,64
1282,401,318
1283,402,152
1284,402,553
1285,403,294
1286,403,487
1287,403,255
1288,404,26
1289,404,67
1290,404,554
1291,405,291
1292,405,555
1293,406,556
1294,406,402
1295,407,235
1296,407,399
1297,408,89
1298,408,327
1299,408,102
1300,409,557
1301,409,558
1302,410,85
1303,410,559
1304,410,560
1305,410,100
1306,410,179
1307,410,561
1308,410,562
1309,362,562
1310,411,200
1311,411,228
1312,412,563
1313,412,492
1314,412,28
1315,413,403
1316,413,539
1317,413,27
1318,413,564
1319,414,565
1320,414,436
1321,415,217
1322,415,560
1323,415,517
1324,415,347
1325,415,388
1326,415,387
1327,416,429
1328,416,389
1329,416,112
1330,416,482
1331,417,566
1332,417,567
1333,417,568
1334,417,119
1335,418,208
1336,418,144
1337,419,138
1338,419,101
1339,419,474
1340,420,245
1341,420,26
1342,420,76
1343,420,569
1344,420,342
1345,420,570
1346,422,327
1347,423,69
1348,423,110
1349,424,69
1350,424,416
1351,424,325
1352,424,98
1353,425,388
1354,425,237
1355,426,101
1356,426,384
1357,426,229
1358,427,503
1359,427,292
1360,428,144
1361,428,118
1362,429,144
1363,430,118
1364,430,122
1365,430,221
1366,430,331
1367,432,114
1368,432,571
1369,432,572
1370,431,363
1371,431,433
1372,104,573
1373,57,573
1374,433,573
1375,433,80
1376,433,574
1377,433,303
1378,433,556
1379,433,95
1380,434,575
1381,109,575
1382,164,575
1383,210,575
1384,435,105
1385,435,576
1386,435,208
1387,435,216
1388,435,445
1389,435,577
1390,435,135
1391,176,576
1392,436,576
1393,435,578
1394,196,578
1395,276,578
1396,408,578
1397,437,46
1398,437,9
1399,437,579
1400,437,293
1401,438,202
1402,439,580
1403,439,581
1404,439,582
1405,439,72
1406,439,52
1407,439,28
1408,440,10
1409,440,583
1410,440,155
1411,441,583
1412,441,202
1413,441,365
1414,441,584
1415,442,585
1416,442,555
1417,442,102
1418,442,584
1419,442,245
1420,443,192
1421,251,371
1422,251,372
1423,251,373
1424,251,374
1425,444,375
1426,444,560
1427,290,424
1428,445,106
1429,445,586
1430,445,587
1431,445,370
1432,445,588
1433,445,589
1434,445,487
1435,445,463
1436,445,344
1437,446,473
1438,446,463
1439,446,475
1440,446,476
1441,446,590
1442,446,28
1443,446,444
1444,447,388
1445,447,387
1446,448,165
1447,448,313
1448,449,159
1449,450,9
1450,450,61
1451,450,277
1452,451,591
1453,451,592
1454,451,336
1455,451,233
1456,451,321
1457,451,34
1458,452,44
1459,452,110
1460,452,42
1461,453,276
1462,454,337
1463,454,269
1464,455,69
1465,456,126
1466,456,37
1467,456,275
1468,456,229
1469,457,351
1470,457,193
1471,457,593
1472,458,594
1473,458,595
1474,459,418
1475,459,435
1476,459,596
1477,459,597
1478,459,100
1479,460,50
1480,460,53
1481,460,338
1482,460,257
1483,460,289
1484,461,598
1485,306,598
1486,202,598
1487,461,599
1488,355,599
1489,306,599
1490,462,153
1491,462,600
1492,462,599
1493,462,212
1494,462,321
1495,463,13
1496,463,295
1497,463,95
1498,463,601
1499,463,599
1500,464,13
1501,464,601
1502,464,602
1503,464,316
1504,464,271
1505,465,601
1506,465,205
1507,465,327
1508,466,602
1509,466,603
1510,467,62
1511,467,118
1512,467,602
1513,197,602
1514,236,602
1515,468,290
1516,468,441
1517,468,43
1518,468,602
1519,469,56
1520,469,523
1521,469,501
1522,470,481
1523,470,234
1524,470,212
1525,471,176
1526,471,181
1527,471,488
1528,472,297
1529,472,12
1530,472,249
1531,473,604
1532,475,495
1533,478,40
1534,481,182
1535,483,605
1536,483,244
1537,483,586
1538,484,138
1539,485,604
1540,485,45
1541,485,91
1542,486,13
1543,486,518
1544,486,217
1545,487,568
1546,487,295
1547,487,574
1548,487,94
1549,488,3
1550,488,403
1551,488,606
1552,489,32
1553,489,70
1554,489,234
1555,489,517
1556,489,233
1557,492,502
1558,494,67
1559,494,218
1560,494,607
1561,494,28
1562,494,608
1563,494,251
1564,494,302
1565,495,71
1566,495,266
1567,495,607
1568,495,127
1569,495,12
1570,495,609
1571,495,610
1572,496,611
1573,496,406
1574,496,609
1575,496,413
1576,496,262
1577,496,612
1578,496,509
1579,497,26
1580,497,406
1581,497,8
1582,497,271
1583,497,607
1584,497,613
1585,497,22
1586,497,29
1587,497,522
1588,497,264
1589,497,614
1590,502,359
1591,498,615
1592,500,615
1593,501,615
1594,506,54
1595,506,189
1596,506,556
1597,507,536
1598,507,333
1599,507,34
1600,509,34
1601,511,661
1602,511,617
1603,512,617
1604,512,2
1605,513,617
1606,514,418
1607,515,227
1608,515,282
1609,515,181
1610,515,191
1611,515,446
1612,515,618
1613,516,618
1614,517,618
1615,517,148
1616,17,619
1617,517,619
1618,518,619
1619,518,264
1620,518,474
1621,518,620
1622,518,480
1623,518,621
1624,519,144
1625,519,307
1626,519,386
1627,519,621
1628,520,327
1629,520,622
1630,520,54
1631,520,621
1632,520,514
1633,521,92
1634,521,5
1635,521,167
1636,521,29
1637,521,621
1638,521,168
1639,521,99
1640,522,26
1641,522,22
1642,522,310
1643,522,621
1644,523,290
1645,523,591
1646,523,125
1647,523,621
1648,523,331
1649,523,298
1650,524,402
1651,524,623
1652,524,620
1653,524,41
1654,525,109
1655,525,7
1656,525,622
1657,525,624
1658,525,625
1659,525,370
1660,525,527
1661,525,256
1662,526,31
1663,526,625
1664,526,626
1665,527,152
1666,527,76
1667,527,626
1668,527,149
1669,527,331
1670,527,232
1671,527,471
1672,528,109
1673,528,622
1674,529,176
1675,531,618
1676,532,185
1677,532,26
1678,532,274
1679,533,389
1680,533,58
1681,534,10
1682,535,627
1683,535,338
1684,535,267
1685,536,319
1686,536,520
1687,536,469
1688,536,42
1689,536,628
1690,537,291
1691,537,399
1692,537,338
1693,538,121
1694,539,69
1695,539,63
1696,539,145
1697,539,560
1698,539,121
1699,540,470
1700,540,13
1701,540,553
1702,540,78
1703,540,163
1704,541,629
1705,541,411
1706,541,163
1707,547,630
1708,542,106
1709,542,631
1710,542,459
1711,543,336
1712,543,563
1713,543,199
1714,543,28
1715,544,152
1716,545,632
1717,545,633
1718,545,480
1719,546,631
1720,546,243
1721,546,634
1722,548,9
1723,548,631
1724,548,211
1725,548,590
1726,549,631
1727,549,123
1728,549,156
1729,549,68
1730,550,9
1731,550,631
1732,550,20
1733,550,102
1734,551,67
1735,551,635
1736,551,636
1737,551,245
1738,553,48
1739,553,637
1740,554,600
1741,554,153
1742,554,123
1743,554,638
1744,554,639
1745,554,281
1746,554,556
1747,554,504
1748,555,126
1749,556,163
1750,556,640
1751,556,639
1752,556,479
1753,557,313
1754,557,641
1755,24,641
1756,143,641
1757,436,641
1758,198,641
1759,558,252
1760,558,277
1761,559,431
1762,559,274
1763,559,515
1764,560,642
1765,560,374
1766,560,613
1767,561,431
1768,561,643
1769,561,274
1770,561,644
1771,562,431
1772,562,274
1773,563,431
1774,563,359
1775,564,4
1776,564,643
1777,565,6
1778,565,644
1779,566,418
1780,566,645
1781,567,142
1782,571,13
1783,571,169
1784,571,53
1785,571,498
1786,571,182
1787,572,245
1788,572,569
1789,572,22
1790,572,646
1791,572,647
1792,573,51
1793,573,182
1794,573,648
1795,573,264
1796,573,245
1797,578,649
1798,578,245
1799,578,351
1800,579,139
1801,579,111
1802,579,143
1803,579,555
1804,579,252
1805,579,650
1806,358,650
1807,74,650
1808,580,650
1809,580,651
1810,580,652
1811,581,652
1812,581,157
1813,582,158
1814,582,539
1815,582,653
1816,582,370
1817,582,101
1818,583,560
1819,583,68
1820,583,217
1821,585,39
1822,586,201
1823,586,226
1824,586,655
1825,586,260
1826,586,612
1827,586,202
1828,586,653
1829,586,654
1830,587,158
1831,587,31
1832,587,226
1833,587,283
1834,587,558
1835,587,656
1836,587,653
1837,587,657
1838,588,657
1839,588,225
1840,588,224
1841,588,658
1842,589,658
1843,200,658
1844,590,539
1845,590,632
1846,590,659
1847,590,50
1848,590,331
1849,590,639
1850,591,660
1851,591,88
1852,592,264
1853,592,661
1854,592,662
1855,593,145
1856,593,663
1857,593,160
1858,593,351
1859,594,664
1860,594,665
1861,595,660
1862,595,666
1863,596,567
1864,596,319
1865,596,232
1866,596,249
1867,596,666
1868,597,101
1869,597,667
1870,597,35
1871,597,82
1872,597,64
1873,597,668
1874,597,155
1875,597,666
1876,598,154
1877,598,669
1878,598,290
1879,598,347
1880,598,590
1881,598,246
1882,598,666
1883,599,291
1884,599,670
1885,599,671
1886,600,153
1887,600,553
1888,601,80
1889,601,667
1890,601,149
1891,602,9
1892,602,302
1893,602,472
1894,602,131
1895,602,328
1896,602,20
1897,602,426
1898,602,667
1899,602,578
1900,127,668
1901,603,668
1902,603,544
1903,603,442
1904,423,673
1905,452,673
1906,604,294
1907,604,267
1908,604,160
1909,604,408
1910,604,253
1911,604,548
1912,604,659
1913,604,657
1914,604,674
1915,423,665
1916,605,76
1917,605,665
1918,473,664
1919,113,664
1920,511,661
1921,38,662
1922,606,673
1923,606,662
1924,607,418
1925,607,528
1926,607,670
1927,608,31
1928,608,525
1929,608,624
1930,608,670
1931,609,397
1932,609,404
1933,609,670
1934,609,514
1935,609,675
1936,609,675
1937,610,671
1938,611,676
1939,611,671
1940,611,36
1941,611,398
1942,611,330
1943,611,118
1944,611,122
1945,611,311
1946,611,71
1947,612,379
1948,612,282
1949,612,678
1950,612,675
1951,613,676
1952,613,679
1953,614,206
1954,614,679
1955,615,676
1956,615,153
1957,615,80
1958,615,165
1959,615,192
1960,615,611
1961,616,676
1962,616,680
1963,616,586
1964,187,680
1965,306,680
1966,595,680
1967,186,680
1968,185,680
1969,184,680
1970,617,680
1971,617,152
1972,617,459
1973,617,300
1974,617,554
1975,617,325
1976,617,276
1977,618,164
1978,618,676
1979,618,111
1980,618,631
1981,611,677
1982,619,23
1983,619,58
1984,619,677
1985,619,347
1986,620,36
1987,620,677
1988,620,26
1989,599,672
1990,621,671
1991,621,20
1992,621,249
1993,621,338
1994,348,672
1995,622,672
1996,622,121
1997,622,88
1998,622,126
1999,586,674
2000,303,674
2001,623,672
2002,624,672
2003,624,12
2004,624,492
2005,624,404
2006,625,111
2007,625,561
2008,625,31
2009,625,127
2010,625,52
2011,626,135
2012,626,484
2013,626,488
2014,626,659
2015,627,681
2016,627,682
2017,405,682
2018,128,682
2019,362,682
2020,628,682
2021,628,208
2022,547,681
2023,629,681
2024,629,236
2025,306,118
2026,306,228
2027,630,89
2028,630,490
2029,630,19
2030,630,234
2031,631,667
2032,631,683
2033,631,20
2034,632,431
2035,632,432
2036,632,359
2037,633,683
2038,633,58
2039,633,304
2040,634,683
2041,634,123
2042,634,76
2043,634,252
2044,634,161
2045,634,47
2046,635,683
2047,635,357
2048,635,421
2049,636,429
2050,636,684
2051,1,684
2052,637,224
2053,638,418
2054,638,685
2055,643,91
2056,644,50
2057,644,216
2058,644,686
2059,111,686
2060,645,685
2061,645,687
2062,260,687
2063,646,85
2064,646,311
2065,646,686
2066,647,688
2067,647,285
2068,647,36
2069,647,290
2070,647,123
2071,647,686
2072,647,689
2073,647,690
2074,612,688
2075,648,67
2076,648,211
2077,648,686
2078,649,691
2079,649,692
2080,650,693
2081,651,693
2082,185,694
2083,651,694
2084,249,695
2085,655,695
2086,656,696
2087,656,697
2088,657,697
2089,658,698
2090,658,277
2091,659,556
2092,659,277
2093,661,105
2094,663,438
2095,664,629
2096,665,695
2097,666,695
2098,666,78
2099,666,657
2100,667,698
2101,667,272
2102,668,155
2103,669,272
2104,669,180
2105,670,643
2106,670,699
2107,671,700
2108,671,441
2109,672,701
2110,672,180
2111,672,336
2112,672,650
2113,678,406
2114,678,634
2115,680,232
2116,680,121
2117,681,702
2118,681,395
2119,92,702
2120,182,702
2121,489,702
2122,682,105
2123,684,197
2124,684,703
2125,685,58
2126,685,356
2127,685,704
2128,686,54
2129,686,705
2130,84,705
2131,687,695
2132,688,260
2133,689,219
2134,689,237
2135,691,591
2136,693,448
2137,693,703
2138,696,706
2139,696,707
2140,697,336
